UTC TIME,ACP SAMPLING TIME,MINUS15VOLT,15VOLT,5VOLT,RCAL,R0,TCGND,VREF1,VREF2,VREF3
2005-01-14T09:11:59:675,97,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:59:925,97.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:12:00:175,97.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:12:00:425,97.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:12:00:675,98,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:12:00:925,98.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:12:01:175,98.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:12:01:425,98.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:12:01:675,99,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:12:01:925,99.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:12:02:175,99.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
