EARTH RECEIVED TIME (UTC),SKY FREQUENCY (HZ)
2005-01-14T10:40:47.000,2040008515
2005-01-14T10:40:49.000,2040008514
2005-01-14T10:40:51.000,2040008514
2005-01-14T10:40:53.000,2040008514
2005-01-14T10:40:55.000,2040008511
2005-01-14T10:40:57.000,2040008512
2005-01-14T10:40:59.000,2040008513
2005-01-14T10:41:01.000,2040008511
2005-01-14T10:41:03.000,2040008510
2005-01-14T10:41:05.000,2040008511
2005-01-14T10:41:07.000,2040008509
2005-01-14T10:41:09.000,2040008508
2005-01-14T10:41:11.000,2040008507
2005-01-14T10:41:13.000,2040008506
2005-01-14T10:41:15.000,2040008506
2005-01-14T10:41:17.000,2040008505
2005-01-14T10:41:19.000,2040008504
2005-01-14T10:41:21.000,2040008504
2005-01-14T10:41:23.000,2040008502
2005-01-14T10:41:25.000,2040008500
2005-01-14T10:41:27.000,2040008502
2005-01-14T10:41:29.000,2040008500
2005-01-14T10:41:31.000,2040008497
2005-01-14T10:41:33.000,2040008495
2005-01-14T10:41:35.000,2040008494
2005-01-14T10:41:37.000,2040008494
2005-01-14T10:41:39.000,2040008493
2005-01-14T10:41:41.000,2040008488
2005-01-14T10:41:43.000,2040008491
2005-01-14T10:41:45.000,2040008488
2005-01-14T10:41:47.000,2040008486
2005-01-14T10:41:49.000,2040008485
2005-01-14T10:41:51.000,2040008486
2005-01-14T10:41:53.000,2040008485
2005-01-14T10:41:55.000,2040008483
2005-01-14T10:41:57.000,2040008483
2005-01-14T10:41:59.000,2040008482
2005-01-14T10:42:01.000,2040008481
2005-01-14T10:42:03.000,2040008479
2005-01-14T10:42:05.000,2040008479
2005-01-14T10:43:23.000,2040008476
2005-01-14T10:43:25.000,2040008476
2005-01-14T10:43:27.000,2040008477
2005-01-14T10:43:29.000,2040008477
2005-01-14T10:43:31.000,2040008476
2005-01-14T10:43:33.000,2040008477
2005-01-14T10:43:35.000,2040008479
2005-01-14T10:43:37.000,2040008478
2005-01-14T10:43:39.000,2040008479
2005-01-14T10:43:41.000,2040008477
2005-01-14T10:43:43.000,2040008478
2005-01-14T10:43:45.000,2040008479
2005-01-14T10:43:47.000,2040008480
2005-01-14T10:43:49.000,2040008479
2005-01-14T10:43:51.000,2040008477
2005-01-14T10:43:53.000,2040008478
2005-01-14T10:43:55.000,2040008480
2005-01-14T10:43:57.000,2040008480
