EARTH RECEIVED TIME (UTC),SKY FREQUENCY (HZ)
2005-01-14T13:35:26.500,2040009323
2005-01-14T13:35:31.500,2040009321
2005-01-14T13:35:36.500,2040009319
2005-01-14T13:35:41.500,2040009318
2005-01-14T13:35:46.500,2040009316
2005-01-14T13:37:31.500,2040009276
2005-01-14T13:37:36.500,2040009274
2005-01-14T13:37:46.500,2040009270
2005-01-14T13:37:51.500,2040009269
2005-01-14T13:37:56.500,2040009266
2005-01-14T13:38:01.500,2040009265
2005-01-14T13:38:06.500,2040009263
2005-01-14T13:38:11.500,2040009261
2005-01-14T13:38:16.500,2040009259
2005-01-14T13:38:21.500,2040009257
2005-01-14T13:38:26.500,2040009255
2005-01-14T13:38:31.500,2040009253
2005-01-14T13:38:36.500,2040009251
2005-01-14T13:38:41.500,2040009250
2005-01-14T13:38:46.500,2040009248
2005-01-14T13:38:51.500,2040009246
2005-01-14T13:38:56.500,2040009244
2005-01-14T13:39:01.500,2040009242
2005-01-14T13:40:26.500,2040009210
2005-01-14T13:40:31.500,2040009208
2005-01-14T13:40:36.500,2040009206
2005-01-14T13:40:41.500,2040009204
2005-01-14T13:40:46.500,2040009202
2005-01-14T13:40:51.500,2040009200
2005-01-14T13:40:56.500,2040009199
2005-01-14T13:41:06.500,2040009195
2005-01-14T13:41:11.500,2040009193
2005-01-14T13:41:16.500,2040009191
2005-01-14T13:41:21.500,2040009189
2005-01-14T13:41:31.500,2040009185
2005-01-14T13:41:36.500,2040009183
2005-01-14T13:41:41.500,2040009182
2005-01-14T13:41:46.500,2040009180
2005-01-14T13:41:51.500,2040009178
2005-01-14T13:41:56.500,2040009176
2005-01-14T13:42:01.500,2040009174
2005-01-14T13:43:21.500,2040009144
2005-01-14T13:43:26.500,2040009142
2005-01-14T13:43:31.500,2040009140
2005-01-14T13:43:36.500,2040009138
2005-01-14T13:43:41.500,2040009136
2005-01-14T13:43:46.500,2040009134
2005-01-14T13:43:51.500,2040009132
2005-01-14T13:43:56.500,2040009130
2005-01-14T13:44:01.500,2040009129
2005-01-14T13:44:06.500,2040009127
2005-01-14T13:44:11.500,2040009125
2005-01-14T13:44:16.500,2040009123
2005-01-14T13:44:21.500,2040009121
2005-01-14T13:44:26.500,2040009119
2005-01-14T13:44:31.500,2040009117
2005-01-14T13:44:36.500,2040009115
2005-01-14T13:44:41.500,2040009113
2005-01-14T13:44:46.500,2040009112
2005-01-14T13:44:51.500,2040009110
2005-01-14T13:44:56.500,2040009108
2005-01-14T13:45:01.500,2040009106
2005-01-14T13:47:01.500,2040009060
2005-01-14T13:47:06.500,2040009059
2005-01-14T13:47:11.500,2040009057
2005-01-14T13:47:16.500,2040009055
2005-01-14T13:47:21.500,2040009053
2005-01-14T13:47:26.500,2040009051
2005-01-14T13:47:31.500,2040009049
2005-01-14T13:49:31.500,2040009003
2005-01-14T13:49:41.500,2040009000
2005-01-14T13:49:46.500,2040008998
2005-01-14T13:49:51.500,2040008996
2005-01-14T13:49:56.500,2040008994
2005-01-14T13:50:01.500,2040008992
2005-01-14T13:50:06.500,2040008990
2005-01-14T13:50:11.500,2040008988
2005-01-14T13:50:16.500,2040008987
2005-01-14T13:50:21.500,2040008984
2005-01-14T13:50:26.500,2040008983
2005-01-14T13:50:31.500,2040008981
2005-01-14T13:50:36.500,2040008979
2005-01-14T13:50:41.500,2040008977
2005-01-14T13:50:46.500,2040008975
2005-01-14T13:50:51.500,2040008973
2005-01-14T13:50:56.500,2040008971
2005-01-14T13:52:26.500,2040008937
2005-01-14T13:52:31.500,2040008935
2005-01-14T13:52:36.500,2040008933
2005-01-14T13:52:41.500,2040008931
2005-01-14T13:52:46.500,2040008930
2005-01-14T13:52:51.500,2040008928
2005-01-14T13:52:56.500,2040008926
2005-01-14T13:53:01.500,2040008924
2005-01-14T13:53:06.500,2040008922
2005-01-14T13:53:11.500,2040008920
2005-01-14T13:53:16.500,2040008918
2005-01-14T13:53:21.500,2040008916
2005-01-14T13:53:26.500,2040008914
2005-01-14T13:53:31.500,2040008912
2005-01-14T13:53:36.500,2040008911
2005-01-14T13:53:41.500,2040008909
2005-01-14T13:53:46.500,2040008907
2005-01-14T13:53:51.500,2040008905
2005-01-14T13:53:56.500,2040008903
2005-01-14T13:54:01.500,2040008901
2005-01-14T13:55:21.500,2040008871
2005-01-14T13:55:26.500,2040008869
2005-01-14T13:55:31.500,2040008867
2005-01-14T13:55:36.500,2040008865
2005-01-14T13:55:41.500,2040008863
2005-01-14T13:55:46.500,2040008861
2005-01-14T13:55:51.500,2040008859
2005-01-14T13:55:56.500,2040008857
2005-01-14T13:56:01.500,2040008856
2005-01-14T13:56:06.500,2040008854
2005-01-14T13:56:11.500,2040008852
2005-01-14T13:56:16.500,2040008850
2005-01-14T13:56:21.500,2040008848
2005-01-14T13:56:26.500,2040008846
2005-01-14T13:56:31.500,2040008844
2005-01-14T13:56:36.500,2040008842
2005-01-14T13:56:46.500,2040008839
2005-01-14T13:56:51.500,2040008837
2005-01-14T13:56:56.500,2040008835
2005-01-14T13:57:01.500,2040008833
2005-01-14T13:58:26.500,2040008800
2005-01-14T13:58:31.500,2040008799
2005-01-14T13:58:36.500,2040008797
2005-01-14T13:58:41.500,2040008795
2005-01-14T13:58:46.500,2040008793
2005-01-14T13:58:51.500,2040008791
2005-01-14T13:58:56.500,2040008789
2005-01-14T13:59:01.500,2040008787
2005-01-14T13:59:06.500,2040008785
2005-01-14T13:59:11.500,2040008784
2005-01-14T13:59:16.500,2040008782
2005-01-14T13:59:31.500,2040008776
2005-01-14T13:59:36.500,2040008774
2005-01-14T13:59:41.500,2040008772
2005-01-14T13:59:46.500,2040008770
2005-01-14T13:59:51.500,2040008768
2005-01-14T13:59:56.500,2040008766
2005-01-14T14:00:01.500,2040008764
2005-01-14T14:00:06.500,2040008763
2005-01-14T14:01:21.500,2040008734
2005-01-14T14:01:26.500,2040008732
2005-01-14T14:01:31.500,2040008730
2005-01-14T14:01:36.500,2040008728
2005-01-14T14:01:46.500,2040008725
2005-01-14T14:01:51.500,2040008723
2005-01-14T14:01:56.500,2040008721
2005-01-14T14:02:01.500,2040008719
2005-01-14T14:02:06.500,2040008717
2005-01-14T14:02:16.500,2040008713
2005-01-14T14:02:21.500,2040008711
2005-01-14T14:02:26.500,2040008709
2005-01-14T14:02:31.500,2040008708
2005-01-14T14:02:36.500,2040008706
2005-01-14T14:02:41.500,2040008704
2005-01-14T14:02:46.500,2040008702
2005-01-14T14:02:51.500,2040008700
2005-01-14T14:02:56.500,2040008698
2005-01-14T14:03:01.500,2040008696
2005-01-14T14:04:16.500,2040008668
2005-01-14T14:04:21.500,2040008666
